PUID;Parent;LocalID;TypeGraphics
55;Ids.Pilot;InstrSetAngle;ioTextBlock
56;Ids.Pilot;GridDriftHeader;ioPanelGrid
57;Ids.Pilot;LabelDriftHeader;ioLabel
58;Ids.Pilot;LabelDriftHeaderUnit;ioLabel
59;Ids.Pilot;GridDrift;ioPanelGrid
60;Ids.Pilot;InstrDrift;ioTextBlock
61;Ids.Pilot;GridCogHeader;ioPanelGrid
62;Ids.Pilot;LabelCogHeader;ioLabel
63;Ids.Pilot;GridCog;ioPanelGrid
64;Ids.Pilot;InstrCog;ioTextBlock
65;Ids.Pilot;LabelCogHeaderUnit;ioLabel
66;Ids.Pilot;GridSogHeader;ioPanelGrid
67;Ids.Pilot;LabelSogHeader;ioLabel
68;Ids.Pilot;LabelSogHeaderUnit;ioLabel
69;Ids.Pilot;GridHdgHeader;ioPanelGrid
70;Ids.Pilot;LabelHdgHeader;ioLabel
71;Ids.Pilot;LabelHdgHeaderUnit;ioLabel
72;Ids.Pilot;GridSog;ioPanelGrid
73;Ids.Pilot;InstrSog;ioTextBlock
74;Ids.Pilot;GridHdg;ioPanelGrid
75;Ids.Pilot;InstrHdg;ioTextBlock
76;Ids.Pilot;IconWcmdLeft;ioIcon
77;Ids.Pilot;IconWcmdRight;ioIcon
78;Ids.Pilot;GridAwaHeader;ioPanelGrid
79;Ids.Pilot;LabelAwaHeader;ioLabel
80;Ids.Pilot;LabelAwaHeaderUnit;ioLabel
81;Ids.Pilot;GridAwa;ioPanelGrid
82;Ids.Pilot;IconAwaLeft;ioIcon
83;Ids.Pilot;InstrAwa;ioTextBlock
84;Ids.Pilot;IconAwaRight;ioIcon
85;Ids.Pilot;GridTwaHeader;ioPanelGrid
86;Ids.Pilot;LabelTwaHeader;ioLabel
87;Ids.Pilot;LabelTwaHeaderUnit;ioLabel
88;Ids.Pilot;GridAwsHeader;ioPanelGrid
89;Ids.Pilot;LabelAwsHeader;ioLabel
90;Ids.Pilot;LabelAwsHeaderUnit;ioLabel
91;Ids.Pilot;GridWdirHeader;ioPanelGrid
92;Ids.Pilot;LabelWdirHeader;ioLabel
93;Ids.Pilot;LabelWdirHeaderUnit;ioLabel
94;Ids.Pilot;GridDepthHeader;ioPanelGrid
95;Ids.Pilot;LabelDepthHeader;ioLabel
96;Ids.Pilot;LabelDepthHeaderUnit;ioLabel
97;Ids.Pilot;GridSpeedHeader;ioPanelGrid
98;Ids.Pilot;LabelSpeedHeader;ioLabel
99;Ids.Pilot;LabelSpeedHeaderUnit;ioLabel
100;Ids.Pilot;GridTwa;ioPanelGrid
101;Ids.Pilot;IconTwaLeft;ioIcon
102;Ids.Pilot;InstrTwa;ioTextBlock
103;Ids.Pilot;IconTwaRight;ioIcon
104;Ids.Pilot;GridAws;ioPanelGrid
105;Ids.Pilot;InstrAws;ioTextBlock
106;Ids.Pilot;GridWdir;ioPanelGrid
107;Ids.Pilot;InstrWdir;ioTextBlock
108;Ids.Pilot;GridDepth;ioPanelGrid
109;Ids.Pilot;InstrDepth;ioTextBlock
110;Ids.Pilot;GridSpeed;ioPanelGrid
111;Ids.Pilot;InstrSpeed;ioTextBlock
112;Ids.Track;GridBtwHeader;ioPanelGrid
113;Ids.Track;LabelBtwHeader;ioLabel
114;Ids.Track;LabelBtwHeaderUnit;ioLabel
115;Ids.Track;GridXteHeader;ioPanelGrid
116;Ids.Track;LabelXteHeader;ioLabel
117;Ids.Track;LabelXteHeaderUnit;ioLabel
118;Ids.Track;GridBtw;ioPanelGrid
119;Ids.Track;InstrBtw;ioTextBlock
120;Ids.Track;GridXte;ioPanelGrid
121;Ids.Track;IconXteLeft;ioIcon
122;Ids.Track;InstrXte;ioTextBlock
123;Ids.Track;IconXteRight;ioIcon
124;Ids.Track;GridCogHeader;ioPanelGrid
125;Ids.Track;LabelCogHeader;ioLabel
126;Ids.Track;LabelCogHeaderUnit;ioLabel
127;Ids.Track;GridSogHeader;ioPanelGrid
128;Ids.Track;LabelSogHeader;ioLabel
129;Ids.Track;LabelSogHeaderUnit;ioLabel
130;Ids.Track;GridCog;ioPanelGrid
131;Ids.Track;InstrCog;ioTextBlock
132;Ids.Track;GridSog;ioPanelGrid
133;Ids.Track;InstrSog;ioTextBlock
139;Ids.Track;GridEtaWptHeader;ioPanelGrid
140;Ids.Track;LabelEtaWptHeader;ioLabel
141;Ids.Track;LabelEtaWptHeaderUnit;ioLabel
142;Ids.Track;GridEtaWpt;ioPanelGrid
143;Ids.Track;InstrEtaWptDate;ioTextBlock
144;Ids.Track;InstrEtaWptTime;ioTextBlock
134;Ids.Track;GridEtaRteHeader;ioPanelGrid
135;Ids.Track;LabelEtaRteHeader;ioLabel
136;Ids.Track;LabelEtaRteHeaderUnit;ioLabel
137;Ids.Track;GridEtaRte;ioPanelGrid
138;Ids.Track;InstrEtaRteDate;ioTextBlock
145;Ids.Track;InstrEtaRteTime;ioTextBlock
146;Ids.Track;GridTtgWptHeader;ioPanelGrid
147;Ids.Track;LabelTtgWpthHeader;ioLabel
148;Ids.Track;GridDptHeader;ioPanelGrid
149;Ids.Track;LabeDptlDepthHeader;ioLabel
150;Ids.Track;LabelDptHeaderUnit;ioLabel
151;Ids.Track;GridTtgWpt;ioPanelGrid
152;Ids.Track;InstrTtgWpt;ioTextBlock
153;Ids.Track;GridDpt;ioPanelGrid
154;Ids.Track;InstrDpt;ioTextBlock
155;Ids.Controller;GridHdgCmdHeader;ioPanelGrid
156;Ids.Controller;LabelHdgCmdHeader;ioLabel
157;Ids.Controller;LabelhdgCmdHeaderUnit;ioLabel
158;Ids.Controller;GridHdgCmd;ioPanelGrid
159;Ids.Controller;InstrHdgCmd;ioTextBlock
19;Ids.Controller;ButtMidTrn;ioButtonText
160;Ids.Controller;ButtonLeftThrust;ioButtonIcon
161;Ids.Controller;GridThrustmd;ioPanelGrid
162;Ids.Controller;InstrThrustCmd;ioTextBlock
163;Ids.Controller;ButtonRightThrust;ioButtonText
